Part,NCode,Branch,DateTime,Type,OP,Description
0-705-22,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
0-728-12,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,12 volt.<br/>20/30 amp with bracket.<br/>5 x 6.3mm terminals.
0-728-12,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
09408-22621,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Steel Large Flange Splined Eurosert
09408-22621,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,250
09408-22822,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Steel Large Flange Splined Monobolts
09408-22822,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,200
101014,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Hexagon head acme screws with captive washers
101014,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,100
101014,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,DIN7976                                                      Zinc plated
101016,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Hexagon head acme screws with captive washers
101016,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,100
101016,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,DIN7976                                                      Zinc plated
101639,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
103434,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Extremely effective for interior oil spills
103434,CHARACTERISTICS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Fire retardant&#44 conforms to BS 476 Part 7 Class 1            Cellulose granules from sustainable sources <br/>Lightweight for easy handling
103434,DIRECTIONS OF USE,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Use to Absorb<br/>12 litres per bag
103434,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Lubetech woodchip fibre granules Extremely light to handle Large 30ltr bags can deal with large spills
103434,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,2
103434,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Completely fire retardant&#44 conforms to BS 746 pt 1 Minimum carbon footprint product&#44 sustainably sourced Non-dyed for maximum ‘thirst’ absorption
105187,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
105187,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Material: flexible Polyolefin.<br/>Colour: Black.<br/>Continious operating temperature: -40°c to +135°c.<br/>Flame retardant to UL224.<br/>Self extinguishing.<br/>Shrink temperature: 120°c.<br/>Shrink ratio: 2:1.
106979,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,To be seen clearly on building sites                                                                   Can also be used in the bus & HVG industries
106979,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,CE certified       7 pockets       Clear ID pocket      Phone pocket    Retail bag        Radio loop
106979,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
106979,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Fully certified & tested<br/>to EN ISO 20471 & EN343 standards    100% Polyester
107019,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,To be seen clearly on building sites                                                                   Can also be used in the bus & HVG industries
107019,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,CE certified       7 pockets       Clear ID pocket      Phone pocket    Retail bag        Radio loop
107019,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
107019,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Fully certified & tested<br/>to EN ISO 20471 & EN343 standards    100% Polyester
107020,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,To be seen clearly on building sites                                                                   Can also be used in the bus & HVG industries
107020,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,CE certified       7 pockets       Clear ID pocket      Phone pocket    Retail bag        Radio loop
107020,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
107020,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Fully certified & tested<br/>to EN ISO 20471 & EN343 standards    100% Polyester
10734,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,For the separation of glued windshields in vehicles.
10734,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Adjustable oscillator (vibration of the knife).<br/>With combined air inlet / outlet.
10734,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
10734,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Maximum pad Ø: 125mm.<br/>Recommended min. Ø bi hose: 8 mm.<br/>Maximum pressure: 6.3 bar.<br/>Average air consumption: 370 l/min.<br/>Maximum air consumption: 530 l/min.<br/>Air connection: G 1/4 bi.<br/>Noise level: 79.8 dB (A).<br/>Vibration: 4.3 m/s.<br/>Oscillation (min-1): 20.000.<br/>Connection Machine: sw = 19; E = 21.9.<br/>Jack knife: e = 22.<br/>Height: 180mm.<br/>Height: 65mm.<br/>Weight: 0.8kg.
108-100,HINTS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Hardened spring steel&#44 white.
108-100,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,An excess of 0.3-0.8mm relative to the nominal diameter guarantees a secure fixing and/or locking.
108-100,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,100
110140,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Commonly used in coaches&#44 buses&#44 boats and low voltage garden lights.
110140,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,MR16 Halogen dimmable dichroic bulb 24V 10W GU5.3
110140,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
110150,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10
110218,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Interior.<br/>Side and perimeter lighting&#44 parking light and tail light.<br/>Indicator&#44 brake and fog light.
110218,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10
110230,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Interior.<br/>Parking lights and taillight.<br/>Indicator&#44 brake and fog light.
110230,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10
110238,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Interior.<br/>Parking lights and taillight.
110238,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10
110242,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Number plate and interior lights.<br/>Indicator&#44 brake and fog light.
110242,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10
110245,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Vehicle Lighting
110245,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,12v 10w
110245,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10
110246,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Interior.<br/>Side and perimeter lighting&#44 parking light and tail light.<br/>Indicator&#44 brake and fog light.
110246,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10
110247,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Interior.<br/>Side and perimeter lighting&#44 parking light and tail light.<br/>Indicator&#44 brake and fog light.
110247,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10
110247L,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Engineered for trucks and buses
110247L,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,24V 10W BA15s (R10W) fully road legal and ECE approved
110247L,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10
110247L,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Bulb Type Filament
110248,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Number plate and interior lights.<br/>Indicator&#44 brake and fog light.
110248,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10
110249,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Commercial Vehicle Lighting
110249,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,24v 5w
110249,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10
110250,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Interior.<br/>Side and perimeter lighting&#44 parking light and tail light.
110250,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10
110251,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Commercial Vehicle Lighting
110251,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,24v 5w
110251,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10
110251L,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,for new trucks and commercial vehicles
110251L,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,24V 5W BA15S bulb Fully Road legal and ECE Reg 37 compliant
110251L,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10
